id,created_at,description,current_price,old_price,price_diff,percent_diff,image_link,product_link,review_link,coupon_code,shipping_cost,notes,expire_date,category,store_name,deal_level,published_at,status,holiday_tag,exclude_from_auto,description_es,slug_es,slug,notes_es,ai_status,ai_error,ai_generated_at,product_link_norm,product_key,image_key,feed_at,superseded_by_id,superseded_at,canonical_to_id,bump_count,last_bumped_at,is_affiliate,affiliate_source,affiliate_priority,publish_action,asin,upc
3830,2025-12-21 14:55:24.660491+00,Tzumi SLF Luxury Towel 20L Electric Bucket Towel Warmer - Only $49.99!,49.99,148.99,99.00,66.45,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/25938895_fpx.tif?op_sharpen=1&wid=1500&fit=fit%2C1&fmt=webp,https://www.macys.com/shop/product/tzumi-slf-luxury-towel-20l-electric-bucket-towel-warmer?ID=16995902,null,null,null,Indulge in luxury with the Tzumi SLF Electric Towel Warmer. This stylish warmer heats up to two large towels at once and is perfect for keeping your pajamas and robes cozy. Experience a spa-like comfort at home for a fraction of the original price!,null,Health & Wellness,Macy’s,Searing deal,2025-12-21 14:55:24.597+00,Draft,null,false,Calentador de Toallas Eléctrico Tzumi SLF de 20L - ¡Solo $49.99!,calentador-de-toallas-el-ctrico-tzumi-slf-de-20l-solo-49-99,tzumi-slf-luxury-towel-20l-electric-bucket-towel-warmer,Disfruta del lujo con el Calentador de Toallas Eléctrico Tzumi SLF. Este elegante calentador calienta hasta dos toallas grandes a la vez y es perfecto para mantener tus pijamas y batas acogedores. ¡Experimenta la comodidad de un spa en casa a una fracción del precio original!,completed,null,2025-12-21 14:55:28.795+00,null,null,null,null,null,null,null,0,null,false,null,0,insert,null,null
3829,2025-12-21 14:54:48.121675+00,Clinique Plenty Of Pop: Pop Longwear Lipstick Gift Set - Now Only $24.50!,24.50,35.00,10.50,30.00,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/33292441_fpx.tif?op_sharpen=1&wid=1500&fit=fit%2C1&fmt=webp,https://www.macys.com/shop/product/clinique-plenty-of-pop-pop-longwear-lipstick-gift-set-created-for-macys?ID=22756166,null,null,null,"Transform your lips with the Clinique Pop Longwear Lipstick Gift Set! Enjoy four vibrant shades that give you long-lasting, feel-good color, from nude elegance to bold statements. This is a must-have for beauty enthusiasts. Originally priced at $35, now just $24.50 at Macy's!",null,Beauty & Personal Care,Macy’s,null,2025-12-21 14:54:48.059+00,Draft,null,false,Clinique Plenty Of Pop: Set de Regalo de Pintalabios Pop Longwear - ¡Ahora solo $24.50!,clinique-plenty-of-pop-set-de-regalo-de-pintalabios-pop-longwear-ahora-solo-24-50,clinique-plenty-of-pop-pop-longwear-lipstick-gift-set,"¡Transforma tus labios con el Set de Regalo de Pintalabios Pop Longwear de Clinique! Disfruta de cuatro tonos vibrantes que te brindan un color duradero y agradable, desde la elegancia nude hasta declaraciones audaces. ¡Es un artículo imprescindible para los amantes de la belleza! Precio original de $35, ahora solo $24.50 en Macy's!",completed,null,2025-12-21 14:55:29.796+00,null,null,null,null,null,null,null,0,null,false,null,0,insert,null,null
3828,2025-12-21 14:54:09.724825+00,Oscar de la Renta Bella Rosa Eau de Parfum - 3.4 oz - Now Only $57!,57.00,114.00,57.00,50.00,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/11554780_fpx.tif?op_sharpen=1&wid=1500&fit=fit%2C1&fmt=webp,https://www.macys.com/shop/product/oscar-de-la-renta-bella-rosa-eau-de-parfum-3.4-oz.?ID=8074867,null,null,null,"Discover the joyful and sensual scent of Bella Rosa from Oscar de la Renta, featuring alluring notes of pink pepper, pink rose, and patchouli. Originally priced at $114, now available for just $57 at Macy’s!",null,Beauty & Personal Care,Macy’s,Blistering deal,2025-12-21 14:54:09.604+00,Draft,null,false,Eau de Parfum Bella Rosa de Oscar de la Renta - 3.4 oz - ¡Ahora solo $57!,eau-de-parfum-bella-rosa-de-oscar-de-la-renta-3-4-oz-ahora-solo-57,oscar-de-la-renta-bella-rosa-eau-de-parfum-3-4-oz,"Descubre la fragancia alegre y sensual de Bella Rosa de Oscar de la Renta, que cuenta con notas cautivadoras de pimienta rosa, rosa y pachulí. Originalmente a un precio de $114, ¡ahora disponible por solo $57 en Macy’s!",completed,null,2025-12-21 14:54:14.26+00,null,null,null,null,null,null,null,0,null,false,null,0,insert,null,null
3827,2025-12-21 14:53:29.80494+00,Clinique Happy Couple Perfume Gift Set - Now Only $69.30!,69.30,99.00,29.70,30.00,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/34073599_fpx.tif?op_sharpen=1&wid=1500&fit=fit%2C1&fmt=webp,https://www.macys.com/shop/product/clinique-2-pc.-happy-couple-perfume-fragrance-gift-set?ID=22756158,null,null,null,"Elevate your fragrance collection with the Clinique Happy Couple Perfume Gift Set. Enjoy a vibrant blend of ruby red grapefruit and spring mimosa, perfect for energizing your day. This 2-piece set includes both full-size and travel-size bottles, making it easy to stay fresh wherever you go. Originally priced at $99, grab this cheerful set now at Macy’s for just $69.30!",null,Beauty & Personal Care,Macy’s,null,2025-12-21 14:53:29.613+00,Draft,null,false,Set de Regalo de Perfume Clinique Happy Couple - ¡Ahora Solo $69.30!,set-de-regalo-de-perfume-clinique-happy-couple-ahora-solo-69-30,clinique-happy-couple-perfume-gift-set,"Eleva tu colección de fragancias con el Set de Regalo de Perfume Clinique Happy Couple. Disfruta de una mezcla vibrante de pomelo rojo rubí y mimosa primaveral, perfecta para energizar tu día. Este juego de 2 piezas incluye botellas de tamaño completo y de viaje, lo que facilita mantenerse fresco dondequiera que vayas. Originalmente a un precio de $99, ¡consigue este alegre set ahora en Macy's por solo $69.30!",completed,null,2025-12-21 14:54:14.074+00,null,null,null,null,null,null,null,0,null,false,null,0,insert,null,null
3826,2025-12-21 14:49:56.825251+00,"Duracell Coppertop AAA Alkaline Battery, 36/Pack",31.67,45.69,14.02,30.69,https://www.staples-3p.com/s7/is/image/Staples/79332130-8DC8-4625-A1FF8100E5A7EAA6_sc7?wid=700&hei=700,https://www.staples.com/duracell-coppertop-aaa-alkaline-battery-36-pack-mn24p36/product_41302,null,null,null,"Get reliable power with Duracell Coppertop AAA alkaline batteries, featuring POWER BOOST™ ingredients for long-lasting performance. Guaranteed for 12 years in storage, these batteries are perfect for everyday devices like remotes, cameras, flashlights, and more. Currently on sale for only $31.67, down from $45.69 at Staples.",null,Home & Kitchen,Staples,null,2025-12-21 14:49:56.73+00,Draft,null,false,"Batería Alcalina AAA Duracell Coppertop, 36/Paquete",bater-a-alcalina-aaa-duracell-coppertop-36-paquete,duracell-coppertop-aaa-alkaline-battery-36-pack-mn24p36,"Obtenga energía confiable con las baterías alcalinas AAA Duracell Coppertop, que cuentan con ingredientes POWER BOOST™ para un rendimiento duradero. Garantizadas por 12 años en almacenamiento, estas baterías son perfectas para dispositivos de uso diario como controles remotos, cámaras, linternas y más. Actualmente en oferta por solo $31.67, antes $45.69 en Staples.",completed,null,2025-12-21 14:50:07.841+00,null,null,null,null,null,null,null,0,null,false,null,0,insert,null,null
3825,2025-12-21 14:42:14.261941+00,HP LaserJet Pro MFP 4101fdw Wireless Printer - Now Only $539!,539.00,659.00,120.00,18.21,"https://media.officedepot.com/images/f_auto,q_auto,e_sharpen,h_450/products/3767206/3767206_o01_110223/3767206",https://www.officedepot.com/a/products/3767206/HP-LaserJet-Pro-MFP-4101fdw-Laser/,null,null,null,"Upgrade your office productivity with the HP LaserJet Pro 4101fdw. Enjoy ultra-fast printing, scanning, copying, and faxing capabilities perfect for teams of up to 10. With AI-enabled features, secure wireless connectivity, and a sleek design, this multifunction printer is your all-in-one solution for professional-quality black & white printing. Get it at Office Depot for just $539 (was $659)! Shop now: https://www.officedepot.com/a/products/3767206/HP-LaserJet-Pro-MFP-4101fdw-Laser/",null,Electronics,Office Depot,null,null,Draft,null,false,Impresora Inalámbrica HP LaserJet Pro MFP 4101fdw - ¡Ahora a Solo $539!,impresora-inal-mbrica-hp-laserjet-pro-mfp-4101fdw-ahora-a-solo-539,hp-laserjet-pro-mfp-4101fdw-wireless-printer-now-only-539,"Mejora la productividad de tu oficina con la HP LaserJet Pro 4101fdw. Disfruta de impresión, escaneo, copia y fax ultrarrápidos, perfectos para equipos de hasta 10 personas. Con características habilitadas por IA, conectividad inalámbrica segura y un diseño elegante, esta impresora multifuncional es tu solución integral para imprimir en blanco y negro con calidad profesional. ¡Consíguela en Office Depot por solo $539 (antes $659)! Compra ahora: https://www.officedepot.com/a/products/3767206/HP-LaserJet-Pro-MFP-4101fdw-Laser/",pending,null,null,null,null,null,null,null,null,null,0,null,false,null,0,insert,null,null
3824,2025-12-21 14:40:28.950918+00,"Ninja Foodi 6-in-1, 8-Quart 2 Basket Air Fryer with DualZone Technology - Now Only $109.72!",109.72,149.72,40.00,26.72,https://i5.samsclubimages.com/asr/60856d60-a13d-4888-9925-074fe3784563.22644026e4bb5ffb76aa9f69a8f5c4c7.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.samsclub.com/ip/Ninja-Foodi-6-in-1-8-Quart-2-Basket-Air-Fryer-with-DualZone-Technology/15223159239?athcpid=15223159239&athpgid=HomePageResponsiveDesktop&athcgid=null&athznid=descriptiveaffinity0&athieid=v0&athstid=CS020&athguid=p-JKgbkkSMbd5l3F4rGUFg2rjZH2AhxErO8g&athancid=null&athena=true,null,null,null,"Cook two foods simultaneously with the Ninja Foodi Air Fryer featuring DualZone Technology, Smart Finish, and Match capabilities. With 6 customizable cooking programs including Air Fry, Keep Warm, Roast, Bake, Reheat, and Dehydrate, you can prepare delicious meals tailored to your preferences. This air fryer has a large 8-quart capacity, perfect for up to 4 lbs. of french fries. Plus, it includes 2 bonus broil racks for improved broiling. Grab this deal at Sam's Club and save $40!",null,Home & Kitchen,Sam’s Club,null,2025-12-21 14:40:28.895+00,Draft,null,false,"Ninja Foodi 6-en-1, Fryer de Aire de 8 Cuartos con Tecnología DualZone - ¡Ahora Solo $109.72!",ninja-foodi-6-en-1-fryer-de-aire-de-8-cuartos-con-tecnolog-a-dualzone-ahora-solo-109-72,ninja-foodi-6-in-1-8-quart-2-basket-air-fryer-with-dualzone-technology,"Cocina dos alimentos simultáneamente con la Freidora de Aire Ninja Foodi que cuenta con Tecnología DualZone, capacidades de Finalización Inteligente y Emparejamiento. Con 6 programas de cocción personalizables que incluyen Freír al Aire, Mantener Caliente, Asar, Hornear, Recalentar y Deshidratar, puedes preparar comidas deliciosas adaptadas a tus preferencias. Esta freidora tiene una gran capacidad de 8 cuartos, perfecta para hasta 4 lbs. de papas fritas. Además, incluye 2 rejillas para asar adicionales para una mejor cocción. ¡Aprovecha esta oferta en Sam's Club y ahorra $40!",completed,null,2025-12-21 14:40:38.687+00,null,null,null,null,null,null,null,0,null,false,null,0,insert,null,null
3823,2025-12-21 14:36:33.721348+00,"ChapStick Honey Variety Pack, 12 ct. - Now Only $9.98!",9.98,12.98,3.00,23.11,https://i5.samsclubimages.com/asr/2e93497f-42ff-4a8a-8bdb-2ca0dd1f9da4.45e8991d82a4865ad000fdf1a37cddad.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.samsclub.com/ip/ChapStick-Honey-Variety-Pack-12-ct/13659761019?athcpid=13659761019&athpgid=HomePageResponsiveDesktop&athcgid=null&athznid=membersmark0&athieid=v0&athstid=CS020&athguid=IOLJAhhRA8MR-k_9BVgRFWOdh2VHdFYKjW0H&athancid=null&athena=true,null,null,null,"Keep your lips nourished and moisturized with America's favorite lip balm! This ChapStick Honey Variety Pack includes 12 balms in various flavors: Two Honey Nourish Vanilla, Two Moisturizer Original, Two Classic Strawberry, Three Classic Cherry, and Three Classic Original. Each classic balm contains 45% White Petrolatum as a skin protectant, while the Honey Nourish formula is enriched with vitamin E, shea butter, and avocado butter. Grab this deal now at Sam's Club, originally priced at $12.98!",null,Beauty & Personal Care,Sam’s Club,null,2025-12-21 15:40:00.181173+00,Published,null,false,"Paquete Variado de ChapStick Honey, 12 piezas - ¡Ahora solo $9.98!",paquete-variado-de-chapstick-honey-12-piezas-ahora-solo-9-98,chapstick-honey-variety-pack-12-ct,"¡Mantén tus labios nutridos e hidratados con el bálsamo labial favorito de América! Este paquete variado de ChapStick Honey incluye 12 bálsamos en varios sabores: Dos Honey Nourish Vanilla, Dos Moisturizer Original, Dos Classic Strawberry, Tres Classic Cherry y Tres Classic Original. Cada bálsamo clásico contiene 45% de Petrolato Blanco como protector de la piel, mientras que la fórmula Honey Nourish está enriquecida con vitamina E, manteca de karité y manteca de aguacate. ¡Aprovecha esta oferta ahora en Sam's Club, originalmente a un precio de $12.98!",completed,null,2025-12-21 14:36:40.43+00,null,null,null,null,null,null,null,0,null,false,null,0,insert,null,null
3822,2025-12-21 14:36:06.277475+00,"Olay Ultimate Night Moisturizer, 1.7 oz., 2 pk. - Now Only $37.98!",37.98,47.98,10.00,20.84,https://i5.samsclubimages.com/asr/cd9f2de2-ba8a-4492-97eb-0a86b3df2f9a.6e44e8788a749a144506624bed88c1a1.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.samsclub.com/ip/Olay-Ultimate-Night-Moisturizer-1-7-oz-2-pk/13931324210?athcpid=13931324210&athpgid=HomePageResponsiveDesktop&athcgid=null&athznid=HomePageResponsiveDesktop_contentZone59_ItemCarousel&athieid=v0&athstid=CS020&athguid=p-JKgbkkSMbd5l3F4rGUFg2rjZH2AhxErO8g&athancid=null&athena=true,null,null,null,"Revitalize your skin with Olay Ultimate Night Moisturizer. Each pack contains two 1.7 oz. jars, formulated with Retinol 24, Vitamin E, and Peptide to enhance skin texture and reduce the appearance of fine lines. This hydrating formula leaves your skin looking youthful and feeling renewed. Free from parabens, phthalates, and synthetic dyes. Available at Sam’s Club at an unbeatable price of $37.98, down from $47.98!",null,Beauty & Personal Care,Sam’s Club,null,2025-12-21 14:36:06.222+00,Draft,null,false,"Olay Ultimate Crema Hidratante Nocturna, 1.7 oz., 2 pk. - ¡Ahora Solo $37.98!",olay-ultimate-crema-hidratante-nocturna-1-7-oz-2-pk-ahora-solo-37-98,olay-ultimate-night-moisturizer-1-7-oz-2-pk,"Revitaliza tu piel con Olay Ultimate Crema Hidratante Nocturna. Cada paquete contiene dos frascos de 1.7 oz., formulados con Retinol 24, Vitamina E y Péptidos para mejorar la textura de la piel y reducir la apariencia de líneas finas. Esta fórmula hidratante deja tu piel luciendo juvenil y sintiéndose renovada. Sin parabenos, ftalatos ni colorantes sintéticos. ¡Disponible en Sam’s Club a un precio inigualable de $37.98, rebajado de $47.98!",completed,null,2025-12-21 14:36:38.903+00,null,null,null,null,null,null,null,0,null,false,null,0,insert,null,null
3821,2025-12-21 14:35:36.425536+00,Bluey Deluxe Sensory Bin with Accessories - Only $10.79!,10.79,22.98,12.19,53.05,https://i5.samsclubimages.com/asr/6edf490e-0600-487e-b132-122c24b1f4af.1c7368d370bf3e7f0e9e6d8b2933dc49.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.samsclub.com/ip/Bluey-Deluxe-Sensory-Bin-with-Accessories/16674313588?athcpid=16674313588&athpgid=HomePageResponsiveDesktop&athcgid=null&athznid=membersmark0&athieid=v0&athstid=CS020&athguid=IOLJAhhRA8MR-k_9BVgRFWOdh2VHdFYKjW0H&athancid=null&athena=true,null,null,null,"Create sensory-filled Bluey stories with over 50 accessories! Includes 60 oz of moldable sand, a mini rake, molds, and mix-ins. Dimensions: 15.25"" L x 3.75"" D x 13.75"" H. Enjoy mess-free play directly inside the bin. Grab it now at Sam's Club!",null,Kids & Toys,Sam’s Club,Scorching deal,2025-12-21 16:00:00.290118+00,Published,null,false,Bin Sensorial Deluxe de Bluey con Accesorios - ¡Solo $10.79!,bin-sensorial-deluxe-de-bluey-con-accesorios-solo-10-79,bluey-deluxe-sensory-bin-with-accessories-only-10-79,"¡Crea historias sensoriales de Bluey con más de 50 accesorios! Incluye 60 oz de arena moldeable, un rastrillo mini, moldes y mezclas. Dimensiones: 15.25"" L x 3.75"" D x 13.75"" H. Disfruta de un juego sin desorden directamente dentro del bin. ¡Consíguelo ahora en Sam's Club!",pending,null,null,null,null,null,null,null,null,null,0,null,false,null,0,insert,null,null
